Date_reported,Cumulative_cases
23-08-2021,6443609
24-08-2021,6447466
25-08-2021,6470371
26-08-2021,6492981
27-08-2021,6511793
28-08-2021,6522356
29-08-2021,6539737
30-08-2021,6553326
31-08-2021,6555458
01-09-2021,6572899
02-09-2021,6590001
03-09-2021,6605354
04-09-2021,6614062
05-09-2021,6627205
06-09-2021,6637565
07-09-2021,6639875
08-09-2021,6652726
09-09-2021,6665074
10-09-2021,6675723
11-09-2021,6683298
12-09-2021,6692706
13-09-2021,6700359
14-09-2021,6700774
15-09-2021,6710718
16-09-2021,6719404
17-09-2021,6727094
18-09-2021,6732992
19-09-2021,6740406
20-09-2021,6746220
21-09-2021,6746400
22-09-2021,6753865
23-09-2021,6760265
24-09-2021,6766375
25-09-2021,6770902
26-09-2021,6776914
27-09-2021,6781597
28-09-2021,6782758
29-09-2021,6788617
30-09-2021,6794096
01-10-2021,6798954
02-10-2021,6803078
03-10-2021,6808026
04-10-2021,6811770
05-10-2021,6812908
06-10-2021,6816783
07-10-2021,6821415
08-10-2021,6825696
09-10-2021,6829593
10-10-2021,6834327
11-10-2021,6838318
12-10-2021,6838953
13-10-2021,6844536
14-10-2021,6849876
15-10-2021,6854808
16-10-2021,6860434
17-10-2021,6865333
18-10-2021,6869111
19-10-2021,6869868
20-10-2021,6875557
21-10-2021,6881353
22-10-2021,6886851
23-10-2021,6892909
24-10-2021,6899078
25-10-2021,6904071
26-10-2021,6905082
27-10-2021,6911333
28-10-2021,6917770
29-10-2021,6923896
30-10-2021,6929957
31-10-2021,6937242
01-11-2021,6943571
02-11-2021,6945405
03-11-2021,6947264
04-11-2021,6956767
05-11-2021,6966140
06-11-2021,6974591
07-11-2021,6984128
08-11-2021,6992617
09-11-2021,6994575
10-11-2021,7006075
11-11-2021,7017897
12-11-2021,7030401
13-11-2021,7034001
14-11-2021,7048646
15-11-2021,7061121
16-11-2021,7064283
17-11-2021,7082696
18-11-2021,7102897
19-11-2021,7122737
20-11-2021,7143584
21-11-2021,7166152
22-11-2021,7185901
23-11-2021,7191102
